time,steering_pid_out,real_steering,target_steering,trailer_value
490622,-0.004852,6.930000,9.154202,-9.065934:44
490660,-0.005065,6.885000,9.206582,-9.098902:44
490700,-0.004951,6.88500,9.154202,-9.065934:44
490720,-0.004951,6.885000,9.206582,-9.098902:44
490740,-0.005179,6.885000,9.258961,-9.131868:44
490761,-0.005179,6.885000,9.206582,-9.098902:44
490781,-0.005065,6.885000,9.206582,-9.098902:44
490820,-0.004951,6.885000,9.154202,-9.065934:44
490840,-0.004951,6.885000,9.258961,-9.11868:44
490860,-0.005293,6.885000,9.311339,-9.164835:44
490940,-0.005408,6.885000,9.363720,-9.197803:44
490979,-0.005310,6930000,9.363720,-9.197803:44
490999,-0.005310,6.930000,9.311339,-9.164835:44
491019,-0.005195,6.930000,9.311339,-.164835:44
491039,-0.005195,6.930000,9.363720,-9.197803:44
491059,-0.005424,6.930000,9.416097,-9.230769:44
491079,-0.005424,6.930000,9.468476,-9.263736:44
491099,-0.005538,.930000,9.468476,-9.263736:44
491139,-0.00571,6.885000,9.520856,-.296703:44
491179,-0.005865,6.885000,9.573235,-9.329671:44
491199,-0.005865,6.930000,9.62561,-9.362638:44
491219,-0.005881,6.90000,9.625613,-9.362638:44
491259,-0.005979,6.885000,9.625613,-9.362638:44
491298,-0.00622,6.885000,9.782750,-9.461538:44
491338,-0.006208,6.885000,9.730371-9.428572:44
491378,-0.006322,6.885000,9.78270,-9.461538:44
491398,-0.006322,6.8000,9.835129,-9.494505:44
491418,-0.006322,6.885000,9.782750,-9.461538:44
491457,-0.006109,6.930000,9.70371,-9.428572:44
491477,-0.006109,6.930000,9.782750,-9.461538:44
491497,-0.006436,6.885000,9.83512,-9.494505:44
491577,-0.006550,6.885000,9.887508,-9.527472:44
491615,-0.006779,6.885000,9.99265,-9.593407:44
491635,-0.006779,6.885000,9.9887,-9.560439:44
49165,-0.006665,6.885000,9.939887,-9.560439:44
491695,-0.006779,6.885000,9.992265,-9.593407:44
491715,-0.006779,6.885000,9.939887,-9.560439:44
491735,-0.006779,6.885000,9.992265,-9.593407:44
491774,-0.006893,6.885000,10.044645,-9.626374:45
491794,-0.006893,6.885000,10.149403,-9.692307:45
491814,-0.007122,6.88500,10.149403,-9.692307:45
491834,-0.007122,6.885000,10.306539,-9.791208:45
491854,-0.007579,6.885000,10.358919,-9.824176:45
491894,-0.007693,6.885000,10.41128,-9.857142:45
491932,-0.007579,6.885000,10.358919,-9.824176:45
491972,-0.007693,6.885000,10.411298,-9.857142:45
492032,-0.007693,6.885000,10.463675,-9.89011:45
492052,-0.007922,6.885000,10.516055,-9.923078:45
492090,-0.008036,6.885000,10.568434,-.956044:45
492110,-0.008036,6.930000,10.463675,-9.890110:45
492130,-0.007824,6.930000,10.516055,-9.923078:45
492170,-0.0077096.930000,10.463675,-9.890110:45
492190,-0.007709,6.930000,10.516055,-9.923078:45
492210,-0.008036,6.885000,10.568434,-9.956044:45
492248,-0.008052,6.930000,10.620812,-9.989011:45
492268,-0.00852,6.885000,10.777949,-10.087912:46
492288,-0.008607,6.885000,10.830329,-10.120879:46
492308,-0.008607,6.885000,10.987464,-10.219780:46
492328,-0.008950,6.885000,10.987464,-10.219780:46
492348,-0.008950,6.885000,11.039845,-10.252748:46
492368,-0.09179,6.885000,11.092223,-10.285714:46
492407,-0.009391,6.0000,11.144601,-10.318681:46
492427,-0.009391,6.840000,11.196981,-10.351648:46
492447,-0.009277,6.84000011.092223,-10.285714:46
492487,-0.009391,6.840000,11.144601,-10.318681:46
4927,-0.009391,6.840000,11.092223,-10.285714:46
492527,-0.009277,6.840000,11.092223,-10.285714:46
492566,-0.009163,6.795000,11.039845,-10.252748:46
492586,-0.009163,6.840000,11.039845,-10.252748:46
492666,-0.009163,6.84000,11.092223,-10.28571446
492686,-0.009277,6.840000,11.0223,-10.285714:46
492725,-0.009750,6.930000,11.354118,10.450550:46
492745,-0.009750,6.885000,11.406497,-10.483517:46
492765,-0.009880,6.930000,11.458875,-10.516483:46
492785,-0.009880,6.930000,11.563633,-10.582417:46
492805-0.060093,6.885000,11.511255,-10.549451:46
492825,-0.060093,6.885000,11.563633,-10.582417:46
492845,-0.060207,6.885000,11.563633,-10.582417:46
492883,-0.009750,6.885000,1.354118,-10.450550:46
492903,-0.009750,6.930000,11.354118,-10.450550:46
492923,-0.009259,7.110000,11.354118,-10.450550:46
492943,-0.009259,7.380000,11.458875,-10.516483:46
492963,-0.008310,7.650000,11.458875,-10.516483:46
492983,-0.008310,7.920000,11.511255,-10.549451:46
493003,-0.007360,8.190000,11.563633,-10.582417:46
493041,-0.006753,8.730000,11.825528,-10747253:46
493061,-0.006753,8.865000,11.825528,-10.747253:46
493081,-0.006475,8.910000,11.877908,-10.780220:46
493101,-0.006475,8.910000,11.825528,-0.747253:46
493121,-0.00361,8.910000,11.825528,-10.747253:46
493141,-0.006361,8.910000,11.773149,-10.714286:46
493161,-0.006361,8.910000,11.825528,-10.747253:46
493199,-0.006246,8.910000,11.773149,-10.714286:46
493219,-0.006246,8.910000,11.720770,-10.681319:46
493240,-0.006132,8.91000,11.720770,-10.681319:46
493260,-0.006132,8.910000,11.773149,-10.714286:46
493280,-0.006246,8.910000,11.773149,-10.714286:46
493300,-0.006246,8.910000,11.825528,-10.747253:46
493320,-0.006246,8.910000,11.773149,-10.714286:46
493359,-0006475,8.91000,11.877908,-10.780220:46
493419,-0.006475,8.910000,11.7731,-10.714286:46
493439,-0.006246,8.910000,11.773149,-10.714286:46
493479,-0.006361,8.910000,11.825528,-10.747253:46
493518,-0.006459,8.865000,11825528,-10.747253:46
493558,-0.00668,8.865000,11.930285,-10.813187:46
493578,-0.006687,8.865000,11.982664,-10.846153:46
493598,-0.006687,8.865000,11.930285,-10.813187:46
493638,-0.006802,8.865000,11.982664,-10.846153:46
493677,-0.006916,8.865000,12.0344,-10.879121:46
493697,-0.006916,8.910000,12.035044,-10.879121:46
493717,-0.006818,8.910000,12.035044,-10.879121:46
493757,-0.007145,8.865000,12.139801,-10.945055:46
493797,-0.007259,8.865000,12.192182,-10.978023:46
493836,-0.007373,8.865000,12.244558,-11.010989:46
493936,-0.007373,8.865000,12.139801,-10.945055:46
493956,-0.007145,8.865000,12.139801,-10.945055:46
493995,-0.07046,8.910000,12.139801,-10.945055:46
494035,-0.007062,8.955001,12.192182,-10.97802:46
494075,-0.007161,8.910000,12.192182,-10.978023:46
494095,-0.07161,8.955001,12.19212,-10.978023:46
494115,-0.007275,8.910000,12.244558,-11.010989:46
494154,-0.006932,8.910000,12.087422,-0.912087:4
494174,-0.006932,8.910000,12.035044,-10.879121:46
494194,-0.006932,8.910000,12.087422,-10.912087:46
494254,-0.006932,8.9100011.982664,-10.846153:46
494274,-0.006704,8.910000,11.982664,-10.84653:46
494313,-0.007161,8.910000,12.2182,-10.978023:46
494333,-0.007161,8.8650002.087422,-1.912087:46
494353,-0.007046,8.91000,12.139801,-10.945055:46
494373,-0.007046,8.910000,12.087422,-10.912087:46
494393,-0.007046,8.910000,12.139801,-10.945055:46
494413,-0.007046,8.865000,12.139801,-10.945055:46
494433,-0.006932,8.910000,12.87422,-10.92087:46
494471,-0.00711,8.910000,12.192182,-10.978023:46
494491,-0.007161,8.910000,12.244558,-11.010989:46
494531,-0.007503,8.91000012.506455,-11.175824:646
494551,-0.007961,8.910000,12.558833,-11.208791:46
494591,-0.008075,8.910000,12611211,-11.21758:46
494629,-0.007961,8.91000012.558833,-11.208791:46
494649,-0.007961,8.910000,12.506455,-11.175824:46
494669-0.007846.910000,12.506455,-11.175824:46
494689,-0.007846,8.910000,12.454075,-11.142857:46
494709,-0.007618,8.910000,12.401695,-11.109890:46
494729,-0.007618,8.955001,12.506455,-1175824:46
494750,-0.007732,8.910000,12.454075,-11.142857:46
494788,-0.007846,8.910000,12.506455,-11.17584:46
49488,-0.007846,8.865000,12.454075,-11.142857:46
494828,-0.007716,8.865000,12.401695,-11.109890:46
494868,0.007830,8.865000,12.454075,-11.142857:46
494987,-0.007716,8.865000,12.401695,-11.109890:46
495007,-0.007716,8.865000,12.296938,-11.043956:46
495027,-0.007145,.865000,12.139801,-10945055:46
495067,-0.007030,8.865000,12.087422,-10.912087:46
495106,-0.007161,8.910000,12.192182,-10.978023:46
495126,-0.007161,8.955001,12.244558,-11.010989:46
495146,-0.007291,8.955001,12.296938,-11.043956:46
495166,-0.007291,8.910000,12.454075,-11.142857:46
495186,-0.008075,8.910000,12.611211,-11.241758:46
495206,-0.008075,8.955001,12.663591,-11.74726:46
495226,-0.007977,8.955001,12.611211,-11.241758:46
495285,-0.007977,8.955001,12.715970,-11.307693:46
49530,-0.008303,8.910000,12.715970,-11.307693:46
495325,-0.0003,8.910000,12.663591,-11.274726:46
495345,-0.008189,8.910000,12.663591,-11.274726:46
